churn_intent,satisfaction_score,nps,engagement_count,services_count,loyalty_tier,tenure_months,avg_monthly_spend,upgrade_willingness,value_for_money,pref_channel,network_quality_score,service_quality_score,plan_flexibility,retention_incentives,pain_points,digital_literacy,income_bracket,age_group,payment_method,multi_sim_usage,price_quality_weight,churn_flag
4,8.4,7,21,3,Silver,39,59.63,3,1,SMS,5,5,1,"Extra data, Loyalty points",,Intermediate,20k+,45-54,Credit card,Yes,1,1
1,6.7,6,16,2,Silver,36,205.6,4,4,Email,5,5,1,"Device upgrade, Price discount","Hidden fees, Slow data",Advanced,<5k,25-34,Wallet,No,5,0
2,7.3,6,15,3,Gold,22,35.1,2,3,SMS,2,4,4,Extra data,Slow data,Advanced,10-20k,18-24,Cash,No,9,0
4,8.0,9,15,3,Silver,8,31.83,5,3,SMS,5,3,5,Price discount,,Advanced,20k+,18-24,Auto-pay,No,5,1
1,4.7,6,16,4,Gold,14,34.43,1,3,Email,5,5,2,"Streaming subscription, Device upgrade, Loyalty points",,Advanced,<5k,25-34,Debit card,Yes,10,0
3,6.4,6,19,2,Gold,48,19.69,1,5,SMS,5,5,2,"Extra data, Price discount","Dropped calls, Hidden fees, Slow data",Advanced,5-10k,25-34,Credit card,No,10,0
1,8.5,9,14,2,Silver,17,23.8,4,1,SMS,2,5,4,Loyalty points,"Hidden fees, Dropped calls, Poor support",Advanced,20k+,25-34,Credit card,No,6,0
2,5.2,3,19,2,Bronze,16,14.94,1,1,App push,5,3,1,"Streaming subscription, Loyalty points, Price discount","Hidden fees, Billing errors",Advanced,<5k,25-34,Credit card,No,5,0
1,7.7,7,14,4,Gold,11,20.43,3,5,App push,5,3,2,"Price discount, Device upgrade, Streaming subscription","Slow data, Dropped calls",Intermediate,10-20k,35-44,Credit card,No,5,0
4,5.0,5,21,4,Platinum,40,20.05,5,3,Phone call,4,3,3,Extra data,"Slow data, Billing errors",Advanced,5-10k,18-24,Cash,Yes,10,1
2,7.9,10,17,1,Bronze,9,17.3,2,5,Email,5,5,3,"Loyalty points, Price discount","Poor support, Billing errors",Advanced,20k+,25-34,Debit card,No,10,0
4,7.1,6,14,1,Silver,33,26.45,4,3,App push,4,3,4,,"Slow data, Hidden fees",Intermediate,20k+,25-34,Debit card,No,6,1
2,4.6,6,8,2,Bronze,13,20.53,2,5,SMS,4,2,2,Extra data,"Poor support, Billing errors",Intermediate,20k+,25-34,Credit card,No,4,0
2,9.1,10,11,1,Gold,29,32.34,5,3,App push,1,5,4,"Extra data, Loyalty points, Price discount","Hidden fees, Slow data, Dropped calls",Intermediate,5-10k,35-44,Credit card,No,6,0
4,6.0,6,15,2,Gold,24,10.05,3,4,SMS,5,1,3,"Price discount, Streaming subscription, Device upgrade","Billing errors, Hidden fees",Advanced,20k+,18-24,Credit card,Yes,7,1
2,5.9,8,14,1,Bronze,18,23.05,3,5,SMS,2,5,3,Loyalty points,"Dropped calls, Poor support",Advanced,10-20k,25-34,Credit card,No,3,0
2,7.5,8,14,3,Gold,14,26.37,2,3,Phone call,4,4,4,"Streaming subscription, Device upgrade, Extra data",Hidden fees,Intermediate,5-10k,35-44,Wallet,No,6,0
1,9.0,9,12,4,Bronze,25,20.68,5,1,App push,3,5,2,Loyalty points,"Slow data, Billing errors, Poor support",Advanced,10-20k,18-24,Credit card,No,9,0
2,5.6,6,20,4,Gold,23,22.31,3,2,Phone call,4,4,1,"Streaming subscription, Loyalty points, Price discount",,Intermediate,<5k,35-44,Cash,Yes,2,0
2,7.3,9,17,2,Silver,11,10.26,1,1,Email,2,5,1,Extra data,"Slow data, Poor support",Advanced,5-10k,18-24,Debit card,Yes,8,0
2,7.9,9,13,3,Bronze,43,29.85,3,2,Email,5,5,2,"Device upgrade, Price discount",Hidden fees,Advanced,<5k,18-24,Credit card,Yes,9,0
3,8.3,8,12,4,Bronze,37,35.03,5,2,Email,5,1,3,"Loyalty points, Extra data","Billing errors, Dropped calls",Intermediate,<5k,45-54,Wallet,Yes,5,0
1,7.5,6,20,1,Bronze,8,32.18,2,3,App push,3,2,5,Price discount,,Beginner,<5k,55+,Debit card,No,10,0
4,6.6,6,15,3,Silver,9,43.44,3,3,App push,2,3,4,Device upgrade,Slow data,Intermediate,10-20k,45-54,Credit card,Yes,4,1
1,5.9,5,20,2,Silver,2,27.41,3,3,Phone call,2,5,4,"Loyalty points, Extra data",,Advanced,5-10k,25-34,Wallet,No,7,0
4,7.3,7,15,2,Bronze,34,31.92,2,4,SMS,5,5,2,Loyalty points,,Beginner,10-20k,18-24,Credit card,Yes,5,1
5,5.5,7,20,2,Bronze,15,26.73,2,1,App push,4,4,3,"Extra data, Price discount, Streaming subscription",,Intermediate,<5k,35-44,Credit card,No,5,1
3,2.5,2,14,1,Bronze,19,35.81,4,1,Email,4,5,2,"Streaming subscription, Device upgrade, Loyalty points",,Advanced,5-10k,25-34,Wallet,No,4,0
1,7.9,8,18,3,Gold,9,10.3,2,1,SMS,2,3,1,"Device upgrade, Loyalty points",,Advanced,5-10k,18-24,Cash,No,8,0
2,8.6,9,15,2,Gold,19,15.01,2,3,Email,5,5,1,"Loyalty points, Extra data, Streaming subscription","Poor support, Billing errors",Advanced,10-20k,25-34,Credit card,No,8,0
1,3.4,4,15,2,Bronze,24,58.72,3,2,Email,5,5,3,"Loyalty points, Device upgrade",,Advanced,5-10k,18-24,Credit card,No,6,0
2,5.6,3,14,1,Silver,5,6.34,2,2,SMS,5,3,5,"Device upgrade, Price discount",,Intermediate,10-20k,45-54,Wallet,No,3,0
3,8.2,7,20,4,Bronze,24,22.71,5,3,SMS,5,4,1,"Price discount, Device upgrade",Slow data,Advanced,20k+,25-34,Credit card,No,7,0
1,10.0,10,14,2,Gold,23,46.75,2,5,Email,2,2,1,"Price discount, Device upgrade",Poor support,Intermediate,10-20k,35-44,Credit card,No,7,0
3,7.2,9,17,3,Gold,50,23.31,1,1,Email,2,4,4,"Streaming subscription, Device upgrade, Loyalty points",Billing errors,Advanced,<5k,25-34,Debit card,No,5,0
4,6.0,5,14,3,Silver,25,19.63,4,4,Email,1,4,2,"Price discount, Streaming subscription, Loyalty points","Billing errors, Dropped calls",Advanced,<5k,25-34,Auto-pay,Yes,10,1
2,6.9,5,24,2,Platinum,8,26.34,1,4,SMS,3,2,5,"Device upgrade, Streaming subscription","Hidden fees, Dropped calls",Advanced,20k+,25-34,Credit card,No,2,0
4,9.4,10,15,1,Gold,9,20.2,5,4,SMS,2,4,4,Streaming subscription,"Dropped calls, Slow data",Advanced,<5k,18-24,Wallet,Yes,0,1
4,6.2,5,12,3,Gold,23,24.95,3,5,Phone call,3,4,5,"Price discount, Extra data",Dropped calls,Advanced,20k+,55+,Debit card,No,4,1
3,5.9,4,12,1,Silver,15,16.85,3,1,Phone call,4,4,3,"Streaming subscription, Device upgrade, Loyalty points","Poor support, Slow data, Dropped calls",Intermediate,5-10k,35-44,Debit card,No,8,0
1,6.4,6,17,1,Bronze,33,45.14,1,1,Email,5,4,4,Loyalty points,Hidden fees,Intermediate,20k+,45-54,Cash,No,3,0
2,5.7,5,12,3,Bronze,5,53.67,2,5,Phone call,5,1,3,"Streaming subscription, Device upgrade",Hidden fees,Intermediate,10-20k,45-54,Auto-pay,No,4,0
1,7.4,7,19,2,Bronze,35,91.2,4,3,App push,5,5,4,"Device upgrade, Price discount, Loyalty points","Dropped calls, Billing errors",Intermediate,20k+,35-44,Credit card,No,8,0
1,9.8,7,16,2,Silver,22,11.44,4,3,SMS,5,5,3,Loyalty points,"Poor support, Dropped calls, Hidden fees",Intermediate,5-10k,45-54,Credit card,No,7,0
3,7.7,9,19,2,Bronze,51,18.39,2,4,SMS,2,4,1,"Streaming subscription, Loyalty points, Extra data","Poor support, Billing errors, Hidden fees",Advanced,10-20k,18-24,Auto-pay,No,7,0
2,6.8,8,12,2,Bronze,18,22.17,2,4,Phone call,5,2,3,"Device upgrade, Extra data, Streaming subscription",,Advanced,5-10k,18-24,Cash,No,8,0
1,6.7,7,15,3,Silver,8,32.4,1,5,App push,3,5,3,"Extra data, Loyalty points, Device upgrade","Billing errors, Hidden fees",Advanced,5-10k,18-24,Debit card,No,5,0
4,4.7,3,14,3,Bronze,7,14.09,4,5,App push,5,5,5,"Streaming subscription, Extra data, Loyalty points","Billing errors, Poor support",Advanced,10-20k,25-34,Debit card,No,5,1
1,8.6,8,123,3,Silver,100,16.07,5,4,App push,4,3,4,Loyalty points,"Billing errors, Slow data",Advanced,20k+,25-34,Cash,Yes,8,0
4,7.1,7,11,3,Platinum,6,32.49,5,2,Email,5,4,4,"Loyalty points, Extra data, Device upgrade",Poor support,Advanced,20k+,25-34,Wallet,No,3,1
4,6.9,8,12,2,Gold,75,41.12,2,5,SMS,3,3,1,"Device upgrade, Price discount, Loyalty points","Billing errors, Hidden fees, Slow data",Intermediate,10-20k,45-54,Auto-pay,No,1,1
2,10.0,10,13,2,Silver,17,17.43,5,1,SMS,3,4,4,"Loyalty points, Price discount, Extra data","Dropped calls, Hidden fees",Advanced,5-10k,25-34,Debit card,No,5,0
1,7.7,7,15,2,Silver,54,47.12,1,2,SMS,5,3,3,Loyalty points,"Dropped calls, Slow data, Poor support",Advanced,5-10k,25-34,Credit card,No,8,0
1,6.0,6,14,2,Silver,3,149.35,2,5,SMS,1,4,5,"Extra data, Device upgrade",,Advanced,10-20k,25-34,Cash,No,7,0
2,6.5,7,16,4,Bronze,1,37.74,2,2,Email,5,5,5,Price discount,Billing errors,Advanced,<5k,18-24,Debit card,No,8,0
3,9.0,10,17,3,Gold,10,21.18,5,2,SMS,5,4,1,Device upgrade,,Intermediate,<5k,45-54,Debit card,No,1,0
5,7.4,8,12,1,Bronze,26,39.57,3,1,SMS,5,4,5,"Device upgrade, Price discount, Loyalty points","Billing errors, Slow data, Dropped calls",Advanced,5-10k,18-24,Debit card,Yes,7,1
1,4.9,6,23,1,Bronze,21,22.91,4,5,Email,5,4,1,"Extra data, Streaming subscription, Price discount",,Beginner,5-10k,55+,Credit card,Yes,8,0
2,8.7,9,15,1,Gold,12,39.53,5,3,Email,5,4,2,"Device upgrade, Extra data, Loyalty points",Billing errors,Intermediate,5-10k,35-44,Debit card,Yes,3,0
3,6.1,8,7,2,Bronze,26,26.78,4,4,Email,2,1,3,"Loyalty points, Extra data","Slow data, Hidden fees, Poor support",Advanced,<5k,18-24,Cash,Yes,8,0
2,10.0,10,10,1,Silver,16,25.8,2,2,Email,5,2,1,"Loyalty points, Streaming subscription, Price discount",Hidden fees,Advanced,<5k,18-24,Wallet,Yes,6,0
3,8.9,8,15,2,Bronze,6,23.05,5,4,App push,5,5,4,"Streaming subscription, Extra data",Dropped calls,Intermediate,<5k,45-54,Debit card,Yes,10,0
3,6.5,8,11,4,Bronze,60,11.07,2,4,Phone call,5,2,1,"Streaming subscription, Device upgrade, Extra data","Slow data, Poor support",Intermediate,20k+,35-44,Credit card,Yes,1,0
1,9.2,10,13,3,Bronze,1,71.23,4,2,SMS,2,5,1,"Device upgrade, Streaming subscription, Price discount","Hidden fees, Dropped calls, Billing errors",Intermediate,5-10k,35-44,Debit card,No,9,0
1,7.3,7,13,2,Bronze,24,58.48,1,3,SMS,5,5,3,"Extra data, Loyalty points, Price discount",Hidden fees,Intermediate,5-10k,35-44,Wallet,Yes,5,0
1,8.6,8,11,2,Silver,20,11.61,5,2,App push,5,3,4,"Device upgrade, Price discount",Billing errors,Advanced,10-20k,18-24,Debit card,No,2,0
1,8.0,8,14,2,Gold,21,21.82,4,5,Email,5,4,5,"Price discount, Loyalty points, Device upgrade","Poor support, Dropped calls",Advanced,<5k,25-34,Cash,No,5,0
4,5.8,6,12,3,Silver,41,14.46,2,4,App push,4,4,4,"Streaming subscription, Extra data",Hidden fees,Advanced,20k+,18-24,Debit card,No,7,1
3,6.2,6,15,3,Gold,7,23.84,2,5,SMS,1,5,4,Extra data,"Poor support, Dropped calls, Slow data",Intermediate,10-20k,45-54,Credit card,No,9,0
1,8.8,9,25,4,Bronze,7,35.81,5,2,App push,4,5,2,"Price discount, Streaming subscription","Hidden fees, Slow data",Beginner,<5k,35-44,Wallet,No,10,0
2,6.7,9,15,2,Bronze,41,42.41,3,4,Phone call,5,5,1,"Loyalty points, Extra data, Streaming subscription","Slow data, Hidden fees, Dropped calls",Advanced,5-10k,25-34,Credit card,No,10,0
5,6.6,8,13,3,Bronze,30,38.4,2,4,App push,5,2,1,"Extra data, Price discount","Poor support, Dropped calls",Advanced,20k+,18-24,Debit card,Yes,4,1
1,5.7,6,12,1,Silver,52,20.74,1,4,SMS,4,5,3,Loyalty points,,Advanced,20k+,25-34,Credit card,No,9,0
5,7.9,9,18,3,Silver,16,25.21,1,5,App push,2,4,4,Price discount,"Slow data, Hidden fees",Advanced,5-10k,25-34,Credit card,No,7,1
3,10.0,9,8,2,Silver,16,30.7,4,2,App push,4,4,3,"Extra data, Streaming subscription","Hidden fees, Dropped calls",Intermediate,10-20k,35-44,Debit card,No,4,0
1,5.5,6,19,2,Gold,38,9.33,1,1,App push,4,1,4,Price discount,"Dropped calls, Poor support",Intermediate,<5k,35-44,Debit card,No,5,0
1,7.2,9,17,3,Silver,47,33.58,5,4,SMS,5,3,3,,"Slow data, Hidden fees, Poor support",Intermediate,20k+,45-54,Cash,No,4,0
1,9.5,9,15,2,Silver,6,11.01,4,4,App push,5,5,1,Device upgrade,"Poor support, Slow data",Advanced,<5k,25-34,Cash,Yes,6,0
1,7.1,6,20,1,Platinum,73,75.35,1,3,SMS,4,4,1,"Device upgrade, Streaming subscription, Price discount","Hidden fees, Slow data, Dropped calls",Advanced,20k+,18-24,Cash,Yes,4,0
1,7.9,7,101,1,Bronze,52,19.64,1,2,SMS,4,4,5,Loyalty points,,Intermediate,10-20k,35-44,Debit card,No,3,0
2,5.5,4,11,1,Silver,23,22.16,2,3,App push,2,4,4,Streaming subscription,"Hidden fees, Dropped calls",Intermediate,10-20k,35-44,Cash,No,7,0
2,7.9,7,20,1,Gold,30,16.07,2,2,Email,5,5,5,"Streaming subscription, Price discount, Device upgrade",,Intermediate,5-10k,35-44,Debit card,Yes,8,0
2,6.9,6,14,1,Silver,42,17.35,1,3,App push,4,5,1,"Device upgrade, Price discount","Billing errors, Slow data",Advanced,<5k,35-44,Debit card,No,6,0
5,8.8,7,13,2,Bronze,34,85.69,5,4,App push,4,3,5,"Extra data, Device upgrade, Streaming subscription","Dropped calls, Billing errors, Hidden fees",Advanced,<5k,25-34,Debit card,Yes,9,1
1,9.1,9,11,2,Silver,21,41.15,3,4,SMS,4,2,2,"Loyalty points, Extra data, Device upgrade","Poor support, Slow data, Hidden fees",Advanced,<5k,25-34,Auto-pay,No,5,0
5,10.0,10,12,4,Silver,33,10.46,1,2,App push,5,3,1,"Price discount, Loyalty points, Device upgrade",,Advanced,<5k,25-34,Credit card,No,5,1
5,8.1,7,14,2,Silver,14,56.11,2,3,Phone call,5,5,5,"Device upgrade, Price discount, Extra data",Billing errors,Advanced,10-20k,18-24,Auto-pay,No,8,1
1,7.7,10,9,1,Bronze,12,47.29,2,2,SMS,5,4,2,Streaming subscription,,Advanced,5-10k,18-24,Credit card,Yes,6,0
5,7.5,8,16,2,Platinum,20,21.02,1,1,App push,3,4,4,"Price discount, Loyalty points",Dropped calls,Advanced,<5k,18-24,Credit card,No,6,1
3,6.6,8,14,4,Gold,46,29.04,1,4,Email,4,4,1,"Extra data, Price discount",Hidden fees,Intermediate,20k+,35-44,Credit card,No,0,0
1,7.7,7,15,3,Silver,30,24.33,1,5,Email,2,4,3,"Loyalty points, Extra data, Price discount","Dropped calls, Billing errors",Advanced,20k+,25-34,Cash,Yes,6,0
5,6.7,8,10,2,Silver,13,72.6,2,2,Email,5,5,5,"Extra data, Streaming subscription",Billing errors,Advanced,20k+,25-34,Credit card,Yes,1,1
4,7.5,6,10,3,Gold,18,15.83,1,4,Email,1,4,2,"Extra data, Device upgrade",Billing errors,Intermediate,20k+,45-54,Wallet,No,3,1
1,9.3,10,16,3,Bronze,39,26.58,4,5,SMS,4,2,4,"Price discount, Loyalty points",,Advanced,<5k,25-34,Wallet,No,3,0
1,5.6,6,12,3,Bronze,24,19.39,2,5,Phone call,5,2,1,Price discount,Hidden fees,Advanced,5-10k,25-34,Cash,Yes,3,0
2,9.0,10,12,3,Silver,22,11.15,3,1,App push,5,4,4,"Device upgrade, Streaming subscription","Hidden fees, Poor support",Intermediate,10-20k,35-44,Debit card,No,5,0
2,9.3,8,11,4,Gold,22,81.89,4,5,Email,4,5,2,"Streaming subscription, Loyalty points, Price discount",Dropped calls,Advanced,10-20k,25-34,Auto-pay,No,5,0
5,7.0,6,15,4,Bronze,7,12.81,1,2,Email,4,4,2,Loyalty points,"Hidden fees, Dropped calls, Slow data",Advanced,<5k,18-24,Wallet,Yes,8,1
5,3.8,5,19,3,Platinum,3,27.69,1,2,Email,2,5,2,Loyalty points,,Advanced,10-20k,25-34,Debit card,No,7,1
1,6.2,5,14,2,Silver,43,9.42,2,1,Email,5,5,1,"Streaming subscription, Device upgrade","Hidden fees, Billing errors, Dropped calls",Advanced,<5k,18-24,Cash,Yes,1,0
4,9.3,10,12,3,Silver,20,19.7,3,3,Email,5,3,5,"Loyalty points, Extra data",Dropped calls,Intermediate,<5k,45-54,Debit card,Yes,6,1
2,7.2,6,16,3,Bronze,23,30.94,1,1,Email,3,1,2,"Loyalty points, Device upgrade","Billing errors, Dropped calls",Intermediate,5-10k,45-54,Debit card,Yes,7,0
2,5.6,7,23,1,Bronze,14,15.59,2,2,Email,4,2,2,"Streaming subscription, Price discount, Extra data",,Intermediate,5-10k,35-44,Credit card,No,5,0
1,6.4,5,27,4,Gold,53,33.88,4,2,SMS,5,5,3,Device upgrade,"Poor support, Slow data, Hidden fees",Intermediate,5-10k,45-54,Debit card,No,6,0
1,8.5,9,18,1,Platinum,13,21.16,5,5,App push,5,3,2,Price discount,"Dropped calls, Billing errors, Slow data",Intermediate,<5k,45-54,Credit card,Yes,6,0
1,8.1,9,13,2,Silver,16,46.43,5,5,App push,3,4,4,"Loyalty points, Streaming subscription","Dropped calls, Slow data, Hidden fees",Intermediate,20k+,18-24,Debit card,No,8,0
2,6.8,6,16,4,Platinum,42,51.88,4,2,SMS,4,4,5,"Extra data, Streaming subscription","Hidden fees, Dropped calls",Intermediate,5-10k,45-54,Cash,No,2,0
1,6.6,7,15,2,Gold,13,17.77,5,5,SMS,3,5,3,Loyalty points,,Advanced,<5k,25-34,Auto-pay,Yes,5,0
3,6.6,7,9,2,Silver,23,25.59,3,5,SMS,2,2,5,"Loyalty points, Price discount","Billing errors, Poor support",Intermediate,20k+,45-54,Auto-pay,No,10,0
1,5.7,5,21,1,Silver,5,27.14,2,4,Phone call,5,4,3,"Streaming subscription, Loyalty points, Device upgrade",Dropped calls,Advanced,20k+,45-54,Debit card,No,10,0
3,9.8,9,10,2,Silver,9,34.49,4,1,App push,5,4,1,"Extra data, Price discount, Streaming subscription","Billing errors, Hidden fees",Advanced,20k+,25-34,Cash,No,8,0
3,6.7,4,14,1,Silver,4,24.73,1,4,App push,5,4,4,"Streaming subscription, Price discount, Device upgrade",,Intermediate,10-20k,18-24,Credit card,No,7,0
2,9.1,10,10,2,Bronze,21,27.24,5,5,Phone call,1,5,3,"Loyalty points, Device upgrade, Extra data","Billing errors, Dropped calls, Hidden fees",Advanced,10-20k,25-34,Cash,No,10,0
5,9.6,8,10,2,Silver,22,21.46,5,4,Email,5,3,4,Device upgrade,"Dropped calls, Billing errors",Advanced,5-10k,25-34,Credit card,No,10,1
2,8.8,9,18,4,Bronze,23,26.14,4,2,Phone call,4,5,5,"Loyalty points, Device upgrade",,Intermediate,<5k,45-54,Credit card,Yes,6,0
4,6.5,6,17,4,Gold,16,50.09,3,3,Email,4,5,3,Device upgrade,"Slow data, Dropped calls",Advanced,5-10k,45-54,Cash,No,4,1
5,7.8,9,14,1,Gold,17,35.0,2,4,SMS,4,4,5,"Streaming subscription, Loyalty points","Hidden fees, Slow data, Poor support",Advanced,5-10k,18-24,Credit card,No,5,1
2,7.2,7,5,3,Bronze,11,36.08,2,3,App push,2,5,4,Price discount,,Advanced,5-10k,25-34,Credit card,Yes,10,0
5,5.8,5,11,1,Bronze,14,36.51,2,1,Email,5,4,3,Streaming subscription,,Advanced,10-20k,25-34,Wallet,No,2,1
2,7.7,9,20,1,Silver,6,22.54,2,2,App push,4,2,4,"Price discount, Loyalty points, Extra data","Billing errors, Poor support, Hidden fees",Advanced,5-10k,25-34,Credit card,No,5,0
2,5.3,6,17,1,Silver,26,29.23,1,5,Email,3,5,2,Device upgrade,,Advanced,<5k,18-24,Credit card,No,2,0
5,9.1,9,16,4,Bronze,35,13.51,5,5,App push,3,4,5,"Extra data, Price discount","Hidden fees, Slow data, Dropped calls",Advanced,<5k,25-34,Credit card,Yes,6,1
4,6.5,7,124,4,Silver,68,49.3,4,1,Email,3,5,4,Streaming subscription,"Hidden fees, Slow data, Poor support",Intermediate,10-20k,45-54,Credit card,No,3,1
2,7.5,6,10,1,Bronze,17,5.31,4,5,SMS,2,4,1,"Streaming subscription, Price discount, Loyalty points",Hidden fees,Advanced,<5k,25-34,Credit card,No,6,0
2,7.7,9,20,1,Bronze,21,23.38,1,2,Phone call,4,5,2,"Loyalty points, Price discount","Dropped calls, Hidden fees",Advanced,20k+,25-34,Wallet,Yes,1,0
3,6.8,8,17,2,Bronze,52,45.95,4,4,App push,5,4,4,"Loyalty points, Extra data",,Intermediate,5-10k,35-44,Credit card,Yes,8,0
2,8.1,7,14,2,Bronze,18,11.59,4,4,Phone call,1,2,1,"Extra data, Loyalty points, Streaming subscription",Dropped calls,Advanced,5-10k,25-34,Wallet,No,9,0
2,6.4,6,13,3,Gold,20,30.57,1,5,App push,1,4,1,Extra data,"Poor support, Billing errors",Beginner,5-10k,55+,Credit card,Yes,5,0
2,8.6,9,18,2,Platinum,91,16.87,5,5,App push,4,5,3,"Price discount, Loyalty points","Billing errors, Slow data, Dropped calls",Beginner,10-20k,55+,Debit card,Yes,6,0
2,5.0,5,23,3,Silver,16,20.03,1,2,App push,5,5,2,"Streaming subscription, Extra data",,Advanced,5-10k,25-34,Cash,No,6,0
2,7.4,8,15,2,Silver,25,41.28,1,5,SMS,4,4,3,Price discount,,Beginner,10-20k,25-34,Cash,No,6,0
1,10.0,10,22,4,Bronze,25,27.36,4,1,SMS,4,5,2,"Streaming subscription, Device upgrade, Extra data","Hidden fees, Billing errors, Poor support",Beginner,5-10k,25-34,Cash,No,6,0
3,5.6,7,16,3,Silver,15,8.01,3,4,Email,4,3,1,Extra data,Hidden fees,Advanced,5-10k,25-34,Auto-pay,No,8,0
1,6.1,5,12,2,Bronze,27,14.34,1,4,App push,3,4,4,"Price discount, Streaming subscription, Extra data",,Advanced,20k+,18-24,Credit card,No,9,0
1,8.0,9,22,3,Silver,5,41.95,5,4,SMS,1,5,3,"Extra data, Device upgrade","Dropped calls, Poor support",Intermediate,10-20k,35-44,Debit card,No,4,0
1,7.5,9,14,3,Platinum,17,31.4,2,2,Phone call,5,5,2,Streaming subscription,,Advanced,10-20k,25-34,Wallet,Yes,5,0
1,7.8,8,22,2,Bronze,9,64.17,3,5,Email,5,5,2,Price discount,"Billing errors, Slow data",Beginner,20k+,18-24,Credit card,No,8,0
2,8.0,9,15,2,Gold,27,61.9,5,1,App push,4,5,3,"Extra data, Device upgrade","Poor support, Slow data",Advanced,20k+,25-34,Credit card,No,2,0
2,8.2,10,11,4,Bronze,4,20.32,4,1,SMS,5,2,1,"Extra data, Loyalty points, Streaming subscription",,Intermediate,10-20k,45-54,Credit card,No,1,0
3,9.0,10,16,1,Silver,32,97.2,3,4,Email,5,5,1,Loyalty points,,Beginner,10-20k,25-34,Cash,No,7,0
1,7.9,8,15,1,Bronze,1,24.87,1,3,Phone call,3,4,1,"Loyalty points, Extra data, Device upgrade",Billing errors,Advanced,10-20k,18-24,Credit card,Yes,7,0
1,6.8,8,20,2,Silver,26,14.45,2,5,Email,4,3,5,"Price discount, Extra data, Loyalty points",Slow data,Advanced,10-20k,25-34,Credit card,No,4,0
1,8.3,8,14,3,Bronze,7,17.31,5,2,Email,2,3,4,Extra data,Slow data,Beginner,10-20k,55+,Debit card,No,5,0
2,10.0,10,17,3,Silver,12,7.09,1,1,SMS,2,4,4,"Device upgrade, Loyalty points, Streaming subscription","Hidden fees, Poor support",Advanced,10-20k,25-34,Cash,No,4,0
3,7.0,7,21,4,Silver,16,59.37,1,5,SMS,5,3,4,Price discount,"Slow data, Poor support",Intermediate,<5k,35-44,Credit card,No,4,0
4,5.6,7,17,2,Bronze,55,58.98,3,3,SMS,5,4,4,"Device upgrade, Loyalty points, Streaming subscription",Hidden fees,Intermediate,20k+,35-44,Credit card,Yes,8,1
4,9.0,8,22,1,Silver,7,56.12,5,1,App push,5,2,3,"Streaming subscription, Price discount, Extra data","Billing errors, Poor support",Advanced,20k+,25-34,Cash,Yes,3,1
3,7.0,9,9,3,Gold,19,21.64,3,4,Email,5,3,4,"Loyalty points, Device upgrade, Extra data","Hidden fees, Dropped calls, Billing errors",Intermediate,<5k,35-44,Auto-pay,Yes,5,0
1,3.7,4,13,3,Silver,45,25.86,3,3,App push,3,4,1,"Streaming subscription, Loyalty points, Extra data",,Advanced,10-20k,25-34,Cash,No,4,0
5,8.6,7,16,1,Bronze,20,14.47,5,4,SMS,2,4,4,Extra data,Slow data,Advanced,<5k,35-44,Wallet,Yes,2,1
